author_id,author_name
f62afc27-929b-477e-b5e8-114fc9611d46,Rodriguez D.G.
888378d4-c032-4f44-8c8b-55e0051e2563,Furseth I.
2d1a470b-cc7c-43e6-936b-df0bc4a5686a,Matthiesen T.
c1b0bfc3-468f-466c-9959-a9b9c98b647e,Hordofa D.F.
d719eb3e-d113-48fc-99d6-f21f48a6671b,Ye W.
feb89aca-48cf-4142-8723-761d045557ae,Abel S.
0347147c-038b-4772-8509-9c523c337d1a,Bensalem E.
f27560c9-4c99-4ee7-ab2c-5c4b095a6ad9,Jankowiak W.
1206ed82-12bb-45a5-9ef5-aaab8a83361a,Athreye S.
010f1258-3044-469b-a39d-e913c5b3cce4,Saiegh-Haddad E.
91efabb7-a035-4ecd-8685-04cfbc7479f6,Hagues R.J.
c273fb61-19f0-4e15-bb04-75bb1c990fe6,Tezcan T.
5895fa38-3ec7-4d30-ba22-2875c20d50c8,Jabbouri I.
3efb0908-ae08-41d1-a10e-2f490814808f,Kurtoglu Eskisar G.M.
e6a7713b-defd-4849-8216-1496e4d3c8ce,JinRu L.
04c99c17-a813-455d-8217-5b1c213de912,Yakubu A.
f0666e61-31b6-4d60-91c8-fa6670540155,Jafarzadeh H.
c0bbc28a-3c0c-4db9-b5b2-1148dfef06b4,Duffy P.X.
b69a2372-8bc7-4287-9148-590cd0c7a8d2,Dong G.
902a9b6c-fe26-447a-a545-5750391edc93,Sweileh W.M.
aeea1b6c-30cb-437b-9b4a-83c86de6d588,Bolarinwa O.A.
7d622f9b-68d9-4265-86e6-e956c3a0b76c,Fair C.C.
ea27021d-5284-4d23-948c-89e070dc3aca,Merouani W.
5d49926b-a6a9-4cef-9707-da837f170c75,Hachimi A.
c95c9acc-ae2a-48cb-aa75-fd80953ac4c9,Newmyer L.
c1383c91-94d4-4b7d-a81b-bbf703c08178,Lucassen L.
daa477b9-af28-47ca-b6f7-099f0a71d4ab,Minkov M.
98fdfc74-d04d-4741-98fb-dc0e82221ea4,Dangles O.
d4c6fa1b-cb1e-4cae-bb62-873eae4e255b,Kimani T.N.
1f503ddc-8444-49e3-915e-5d34e12ac78f,Sadegh I.
